yearID,teamID,G,W,L
1997,ANA,162,84,78
1998,ANA,162,85,77
1999,ANA,162,70,92
2000,ANA,162,82,80
2001,ANA,162,75,87
2002,ANA,162,99,63
2003,ANA,162,77,85
2004,ANA,162,92,70
2005,ANA,162,95,67
2006,ANA,162,89,73
2007,ANA,162,94,68
2008,ANA,162,100,62
2009,ANA,162,97,65
2010,ANA,162,80,82
2011,ANA,162,86,76
2012,ANA,162,89,73
2013,ANA,162,78,84
1998,ARI,162,65,97
1999,ARI,162,100,62
2000,ARI,162,85,77
2001,ARI,162,92,70
2002,ARI,162,98,64
2003,ARI,162,84,78
2004,ARI,162,51,111
2005,ARI,162,77,85
2006,ARI,162,76,86
2007,ARI,162,90,72
2008,ARI,162,82,80
2009,ARI,162,70,92
2010,ARI,162,65,97
2011,ARI,162,94,68
2012,ARI,162,81,81
2013,ARI,162,81,81
1970,ATL,162,76,86
1971,ATL,162,82,80
1972,ATL,155,70,84
1973,ATL,162,76,85
1974,ATL,163,88,74
1975,ATL,161,67,94
1976,ATL,162,70,92
1977,ATL,162,61,101
1978,ATL,162,69,93
1979,ATL,160,66,94
1980,ATL,161,81,80
1981,ATL,107,50,56
1982,ATL,162,89,73
1983,ATL,162,88,74
1984,ATL,162,80,82
1985,ATL,162,66,96
1986,ATL,161,72,89
1987,ATL,161,69,92
1988,ATL,160,54,106
1989,ATL,161,63,97
1990,ATL,162,65,97
1991,ATL,162,94,68
1992,ATL,162,98,64
1993,ATL,162,104,58
1994,ATL,114,68,46
1995,ATL,144,90,54
1996,ATL,162,96,66
1997,ATL,162,101,61
1998,ATL,162,106,56
1999,ATL,162,103,59
2000,ATL,162,95,67
2001,ATL,162,88,74
2002,ATL,161,101,59
2003,ATL,162,101,61
2004,ATL,162,96,66
2005,ATL,162,90,72
2006,ATL,162,79,83
2007,ATL,162,84,78
2008,ATL,162,72,90
2009,ATL,162,86,76
2010,ATL,162,91,71
2011,ATL,162,89,73
2012,ATL,162,94,68
2013,ATL,162,96,66
1970,BAL,162,108,54
1971,BAL,158,101,57
1972,BAL,154,80,74
1973,BAL,162,97,65
1974,BAL,162,91,71
1975,BAL,159,90,69
1976,BAL,162,88,74
1977,BAL,161,97,64
1978,BAL,161,90,71
1979,BAL,159,102,57
1980,BAL,162,100,62
1981,BAL,105,59,46
1982,BAL,163,94,68
1983,BAL,162,98,64
1984,BAL,162,85,77
1985,BAL,161,83,78
1986,BAL,162,73,89
1987,BAL,162,67,95
1988,BAL,161,54,107
1989,BAL,162,87,75
1990,BAL,161,76,85
1991,BAL,162,67,95
1992,BAL,162,89,73
1993,BAL,162,85,77
1994,BAL,112,63,49
1995,BAL,144,71,73
1996,BAL,163,88,74
1997,BAL,162,98,64
1998,BAL,162,79,83
1999,BAL,162,78,84
2000,BAL,162,74,88
2001,BAL,162,63,98
2002,BAL,162,67,95
2003,BAL,163,71,91
2004,BAL,162,78,84
2005,BAL,162,74,88
2006,BAL,162,70,92
2007,BAL,162,69,93
2008,BAL,161,68,93
2009,BAL,162,64,98
2010,BAL,162,66,96
2011,BAL,162,69,93
2012,BAL,162,93,69
2013,BAL,162,85,77
1970,BOS,162,87,75
1971,BOS,162,85,77
1972,BOS,155,85,70
1973,BOS,162,89,73
1974,BOS,162,84,78
1975,BOS,160,95,65
1976,BOS,162,83,79
1977,BOS,161,97,64
1978,BOS,163,99,64
1979,BOS,160,91,69
1980,BOS,160,83,77
1981,BOS,108,59,49
1982,BOS,162,89,73
1983,BOS,162,78,84
1984,BOS,162,86,76
1985,BOS,163,81,81
1986,BOS,161,95,66
1987,BOS,162,78,84
1988,BOS,162,89,73
1989,BOS,162,83,79
1990,BOS,162,88,74
1991,BOS,162,84,78
1992,BOS,162,73,89
1993,BOS,162,80,82
1994,BOS,115,54,61
1995,BOS,144,86,58
1996,BOS,162,85,77
1997,BOS,162,78,84
1998,BOS,162,92,70
1999,BOS,162,94,68
2000,BOS,162,85,77
2001,BOS,161,82,79
2002,BOS,162,93,69
2003,BOS,162,95,67
2004,BOS,162,98,64
2005,BOS,162,95,67
2006,BOS,162,86,76
2007,BOS,162,96,66
2008,BOS,162,95,67
2009,BOS,162,95,67
2010,BOS,162,89,73
2011,BOS,162,90,72
2012,BOS,162,69,93
2013,BOS,162,97,65
1970,CAL,162,86,76
1971,CAL,162,76,86
1972,CAL,155,75,80
1973,CAL,162,79,83
1974,CAL,163,68,94
1975,CAL,161,72,89
1976,CAL,162,76,86
1977,CAL,162,74,88
1978,CAL,162,87,75
1979,CAL,162,88,74
1980,CAL,160,65,95
1981,CAL,110,51,59
1982,CAL,162,93,69
1983,CAL,162,70,92
1984,CAL,162,81,81
1985,CAL,162,90,72
1986,CAL,162,92,70
1987,CAL,162,75,87
1988,CAL,162,75,87
1989,CAL,162,91,71
1990,CAL,162,80,82
1991,CAL,162,81,81
1992,CAL,162,72,90
1993,CAL,162,71,91
1994,CAL,115,47,68
1995,CAL,145,78,67
1996,CAL,161,70,91
1970,CHA,162,56,106
1971,CHA,162,79,83
1972,CHA,154,87,67
1973,CHA,162,77,85
1974,CHA,163,80,80
1975,CHA,161,75,86
1976,CHA,161,64,97
1977,CHA,162,90,72
1978,CHA,161,71,90
1979,CHA,160,73,87
1980,CHA,162,70,90
1981,CHA,106,54,52
1982,CHA,162,87,75
1983,CHA,162,99,63
1984,CHA,162,74,88
1985,CHA,163,85,77
1986,CHA,162,72,90
1987,CHA,162,77,85
1988,CHA,161,71,90
1989,CHA,161,69,92
1990,CHA,162,94,68
1991,CHA,162,87,75
1992,CHA,162,86,76
1993,CHA,162,94,68
1994,CHA,113,67,46
1995,CHA,145,68,76
1996,CHA,162,85,77
1997,CHA,161,80,81
1998,CHA,163,80,82
1999,CHA,162,75,86
2000,CHA,162,95,67
2001,CHA,162,83,79
2002,CHA,162,81,81
2003,CHA,162,86,76
2004,CHA,162,83,79
2005,CHA,162,99,63
2006,CHA,162,90,72
2007,CHA,162,72,90
2008,CHA,163,89,74
2009,CHA,162,79,83
2010,CHA,162,88,74
2011,CHA,162,79,83
2012,CHA,162,85,77
2013,CHA,162,66,96
1970,CHN,162,84,78
1971,CHN,162,83,79
1972,CHN,156,85,70
1973,CHN,161,77,84
1974,CHN,162,66,96
1975,CHN,162,75,87
1976,CHN,162,75,87
1977,CHN,162,81,81
1978,CHN,162,79,83
1979,CHN,162,80,82
1980,CHN,162,64,98
1981,CHN,106,38,65
1982,CHN,162,73,89
1983,CHN,162,71,91
1984,CHN,161,96,65
1985,CHN,162,77,84
1986,CHN,160,70,90
1987,CHN,161,76,85
1988,CHN,163,77,85
1989,CHN,162,93,69
1990,CHN,162,77,85
1991,CHN,160,77,83
1992,CHN,162,78,84
1993,CHN,163,84,78
1994,CHN,113,49,64
1995,CHN,144,73,71
1996,CHN,162,76,86
1997,CHN,162,68,94
1998,CHN,163,90,73
1999,CHN,162,67,95
2000,CHN,162,65,97
2001,CHN,162,88,74
2002,CHN,162,67,95
2003,CHN,162,88,74
2004,CHN,162,89,73
2005,CHN,162,79,83
2006,CHN,162,66,96
2007,CHN,162,85,77
2008,CHN,161,97,64
2009,CHN,161,83,78
2010,CHN,162,75,87
2011,CHN,162,71,91
2012,CHN,162,61,101
2013,CHN,162,63,99
1970,CIN,162,102,60
1971,CIN,162,79,83
1972,CIN,154,95,59
1973,CIN,162,99,63
1974,CIN,163,98,64
1975,CIN,162,108,54
1976,CIN,162,102,60
1977,CIN,162,88,74
1978,CIN,161,92,69
1979,CIN,161,90,71
1980,CIN,163,89,73
1981,CIN,108,66,42
1982,CIN,162,61,101
1983,CIN,162,74,88
1984,CIN,162,70,92
1985,CIN,162,89,72
1986,CIN,162,86,76
1987,CIN,162,84,78
1988,CIN,161,87,74
1989,CIN,162,75,87
1990,CIN,162,91,71
1991,CIN,162,74,88
1992,CIN,162,90,72
1993,CIN,162,73,89
1994,CIN,115,66,48
1995,CIN,144,85,59
1996,CIN,162,81,81
1997,CIN,162,76,86
1998,CIN,162,77,85
1999,CIN,163,96,67
2000,CIN,163,85,77
2001,CIN,162,66,96
2002,CIN,162,78,84
2003,CIN,162,69,93
2004,CIN,162,76,86
2005,CIN,163,73,89
2006,CIN,162,80,82
2007,CIN,162,72,90
2008,CIN,162,74,88
2009,CIN,162,78,84
2010,CIN,162,91,71
2011,CIN,162,79,83
2012,CIN,162,97,65
2013,CIN,162,90,72
1970,CLE,162,76,86
1971,CLE,162,60,102
1972,CLE,156,72,84
1973,CLE,162,71,91
1974,CLE,162,77,85
1975,CLE,159,79,80
1976,CLE,159,81,78
1977,CLE,161,71,90
1978,CLE,159,69,90
1979,CLE,161,81,80
1980,CLE,160,79,81
1981,CLE,103,52,51
1982,CLE,162,78,84
1983,CLE,162,70,92
1984,CLE,163,75,87
1985,CLE,162,60,102
1986,CLE,163,84,78
1987,CLE,162,61,101
1988,CLE,162,78,84
1989,CLE,162,73,89
1990,CLE,162,77,85
1991,CLE,162,57,105
1992,CLE,162,76,86
1993,CLE,162,76,86
1994,CLE,113,66,47
1995,CLE,144,100,44
1996,CLE,161,99,62
1997,CLE,161,86,75
1998,CLE,162,89,73
1999,CLE,162,97,65
2000,CLE,162,90,72
2001,CLE,162,91,71
2002,CLE,162,74,88
2003,CLE,162,68,94
2004,CLE,162,80,82
2005,CLE,162,93,69
2006,CLE,162,78,84
2007,CLE,162,96,66
2008,CLE,162,81,81
2009,CLE,162,65,97
2010,CLE,162,69,93
2011,CLE,162,80,82
2012,CLE,162,68,94
2013,CLE,162,92,70
1993,COL,162,67,95
1994,COL,117,53,64
1995,COL,144,77,67
1996,COL,162,83,79
1997,COL,162,83,79
1998,COL,162,77,85
1999,COL,162,72,90
2000,COL,162,82,80
2001,COL,162,73,89
2002,COL,162,73,89
2003,COL,162,74,88
2004,COL,162,68,94
2005,COL,162,67,95
2006,COL,162,76,86
2007,COL,163,90,73
2008,COL,162,74,88
2009,COL,162,92,70
2010,COL,162,83,79
2011,COL,162,73,89
2012,COL,162,64,98
2013,COL,162,74,88
1970,DET,162,79,83
1971,DET,162,91,71
1972,DET,156,86,70
1973,DET,162,85,77
1974,DET,162,72,90
1975,DET,159,57,102
1976,DET,161,74,87
1977,DET,162,74,88
1978,DET,162,86,76
1979,DET,161,85,76
1980,DET,163,84,78
1981,DET,109,60,49
1982,DET,162,83,79
1983,DET,162,92,70
1984,DET,162,104,58
1985,DET,161,84,77
1986,DET,162,87,75
1987,DET,162,98,64
1988,DET,162,88,74
1989,DET,162,59,103
1990,DET,162,79,83
1991,DET,162,84,78
1992,DET,162,75,87
1993,DET,162,85,77
1994,DET,115,53,62
1995,DET,144,60,84
1996,DET,162,53,109
1997,DET,162,79,83
1998,DET,162,65,97
1999,DET,161,69,92
2000,DET,162,79,83
2001,DET,162,66,96
2002,DET,161,55,106
2003,DET,162,43,119
2004,DET,162,72,90
2005,DET,162,71,91
2006,DET,162,95,67
2007,DET,162,88,74
2008,DET,162,74,88
2009,DET,163,86,77
2010,DET,162,81,81
2011,DET,162,95,67
2012,DET,162,88,74
2013,DET,162,93,69
1993,FLO,162,64,98
1994,FLO,115,51,64
1995,FLO,143,67,76
1996,FLO,162,80,82
1997,FLO,162,92,70
1998,FLO,162,54,108
1999,FLO,162,64,98
2000,FLO,161,79,82
2001,FLO,162,76,86
2002,FLO,162,79,83
2003,FLO,162,91,71
2004,FLO,162,83,79
2005,FLO,162,83,79
2006,FLO,162,78,84
2007,FLO,162,71,91
2008,FLO,161,84,77
2009,FLO,162,87,75
2010,FLO,162,80,82
2011,FLO,162,72,90
1970,HOU,162,79,83
1971,HOU,162,79,83
1972,HOU,153,84,69
1973,HOU,162,82,80
1974,HOU,162,81,81
1975,HOU,162,64,97
1976,HOU,162,80,82
1977,HOU,162,81,81
1978,HOU,162,74,88
1979,HOU,162,89,73
1980,HOU,163,93,70
1981,HOU,110,61,49
1982,HOU,162,77,85
1983,HOU,162,85,77
1984,HOU,162,80,82
1985,HOU,162,83,79
1986,HOU,162,96,66
1987,HOU,162,76,86
1988,HOU,162,82,80
1989,HOU,162,86,76
1990,HOU,162,75,87
1991,HOU,162,65,97
1992,HOU,162,81,81
1993,HOU,162,85,77
1994,HOU,115,66,49
1995,HOU,144,76,68
1996,HOU,162,82,80
1997,HOU,162,84,78
1998,HOU,162,102,60
1999,HOU,162,97,65
2000,HOU,162,72,90
2001,HOU,162,93,69
2002,HOU,162,84,78
2003,HOU,162,87,75
2004,HOU,162,92,70
2005,HOU,163,89,73
2006,HOU,162,82,80
2007,HOU,162,73,89
2008,HOU,161,86,75
2009,HOU,162,74,88
2010,HOU,162,76,86
2011,HOU,162,56,106
2012,HOU,162,55,107
2013,HOU,162,51,111
1970,KCA,162,65,97
1971,KCA,161,85,76
1972,KCA,154,76,78
1973,KCA,162,88,74
1974,KCA,162,77,85
1975,KCA,162,91,71
1976,KCA,162,90,72
1977,KCA,162,102,60
1978,KCA,162,92,70
1979,KCA,162,85,77
1980,KCA,162,97,65
1981,KCA,103,50,53
1982,KCA,162,90,72
1983,KCA,163,79,83
1984,KCA,162,84,78
1985,KCA,162,91,71
1986,KCA,162,76,86
1987,KCA,162,83,79
1988,KCA,161,84,77
1989,KCA,162,92,70
1990,KCA,161,75,86
1991,KCA,162,82,80
1992,KCA,162,72,90
1993,KCA,162,84,78
1994,KCA,115,64,51
1995,KCA,144,70,74
1996,KCA,161,75,86
1997,KCA,161,67,94
1998,KCA,161,72,89
1999,KCA,161,64,97
2000,KCA,162,77,85
2001,KCA,162,65,97
2002,KCA,162,62,100
2003,KCA,162,83,79
2004,KCA,162,58,104
2005,KCA,162,56,106
2006,KCA,162,62,100
2007,KCA,162,69,93
2008,KCA,162,75,87
2009,KCA,162,65,97
2010,KCA,162,67,95
2011,KCA,162,71,91
2012,KCA,162,72,90
2013,KCA,162,86,76
1970,LAN,161,87,74
1971,LAN,162,89,73
1972,LAN,155,85,70
1973,LAN,162,95,66
1974,LAN,162,102,60
1975,LAN,162,88,74
1976,LAN,162,92,70
1977,LAN,162,98,64
1978,LAN,162,95,67
1979,LAN,162,79,83
1980,LAN,163,92,71
1981,LAN,110,63,47
1982,LAN,162,88,74
1983,LAN,163,91,71
1984,LAN,162,79,83
1985,LAN,162,95,67
1986,LAN,162,73,89
1987,LAN,162,73,89
1988,LAN,162,94,67
1989,LAN,160,77,83
1990,LAN,162,86,76
1991,LAN,162,93,69
1992,LAN,162,63,99
1993,LAN,162,81,81
1994,LAN,114,58,56
1995,LAN,144,78,66
1996,LAN,162,90,72
1997,LAN,162,88,74
1998,LAN,162,83,79
1999,LAN,162,77,85
2000,LAN,162,86,76
2001,LAN,162,86,76
2002,LAN,162,92,70
2003,LAN,162,85,77
2004,LAN,162,93,69
2005,LAN,162,71,91
2006,LAN,162,88,74
2007,LAN,162,82,80
2008,LAN,162,84,78
2009,LAN,162,95,67
2010,LAN,162,80,82
2011,LAN,161,82,79
2012,LAN,162,86,76
2013,LAN,162,92,70
2012,MIA,162,69,93
2013,MIA,162,62,100
1970,MIL,163,65,97
1971,MIL,161,69,92
1972,MIL,156,65,91
1973,MIL,162,74,88
1974,MIL,162,76,86
1975,MIL,162,68,94
1976,MIL,161,66,95
1977,MIL,162,67,95
1978,MIL,162,93,69
1979,MIL,161,95,66
1980,MIL,162,86,76
1981,MIL,109,62,47
1982,MIL,163,95,67
1983,MIL,162,87,75
1984,MIL,161,67,94
1985,MIL,161,71,90
1986,MIL,161,77,84
1987,MIL,162,91,71
1988,MIL,162,87,75
1989,MIL,162,81,81
1990,MIL,162,74,88
1991,MIL,162,83,79
1992,MIL,162,92,70
1993,MIL,162,69,93
1994,MIL,115,53,62
1995,MIL,144,65,79
1996,MIL,162,80,82
1997,MIL,161,78,83
1998,MIL,162,74,88
1999,MIL,161,74,87
2000,MIL,163,73,89
2001,MIL,162,68,94
2002,MIL,162,56,106
2003,MIL,162,68,94
2004,MIL,161,67,94
2005,MIL,162,81,81
2006,MIL,162,75,87
2007,MIL,162,83,79
2008,MIL,162,90,72
2009,MIL,162,80,82
2010,MIL,162,77,85
2011,MIL,162,96,66
2012,MIL,162,83,79
2013,MIL,162,74,88
1970,MIN,162,98,64
1971,MIN,160,74,86
1972,MIN,154,77,77
1973,MIN,162,81,81
1974,MIN,163,82,80
1975,MIN,159,76,83
1976,MIN,162,85,77
1977,MIN,161,84,77
1978,MIN,162,73,89
1979,MIN,162,82,80
1980,MIN,161,77,84
1981,MIN,110,41,68
1982,MIN,162,60,102
1983,MIN,162,70,92
1984,MIN,162,81,81
1985,MIN,162,77,85
1986,MIN,162,71,91
1987,MIN,162,85,77
1988,MIN,162,91,71
1989,MIN,162,80,82
1990,MIN,162,74,88
1991,MIN,162,95,67
